I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
34.325623,8.193718,-1.6784363,-2.1967163,-10.601837,26.641548,-35.935608,76.50537,-15.509094,-10.959717,54.40245,16.451294
28.864868,8.193718,-1.6784363,-2.1967163,-10.601837,26.641548,-35.935608,76.50537,-15.509094,-10.959717,54.40245,16.451294
28.864868,8.193718,-1.6784363,-2.1967163,-10.601837,26.641548,-35.935608,76.50537,-15.509094,-10.959717,47.569443,16.451294
28.864868,8.193718,-1.6784363,-2.1967163,-10.601837,25.055489,-35.935608,76.50537,-21.054749,-18.129395,44.15294,16.451294
23.403992,5.783058,-1.6784363,-2.1967163,-10.601837,25.055489,-35.935608,69.60535,-21.054749,-18.129395,33.90341,12.297455
12.4823,3.3723907,-1.6784363,1.4190674,-10.601837,21.883385,-35.935608,62.7052,-21.054749,-18.129395,23.653885,8.143585
1.5606079,-3.859604,-1.6784363,5.034912,-16.259491,17.125221,-31.662598,55.805298,-26.600342,-18.129395,9.987869,-0.16415405
-14.821869,-13.502266,-1.6784363,12.266418,-16.259491,12.367058,-31.662598,48.90515,-32.145996,-18.129395,-3.6781616,-12.625732
-36.665222,-23.144928,-1.6784363,15.882263,-16.259491,4.4368134,-27.389587,42.005127,-32.145996,-18.129395,-20.760681,-25.08728
-53.04773,-30.376926,-1.6784363,19.498047,-21.917145,-0.3213501,-27.389587,35.10498,-37.69165,-18.129395,-37.843216,-41.70273
-74.89108,-37.608925,-1.6784363,26.729614,-21.917145,-1.907402,-23.116577,28.204956,-43.237244,-25.299194,-54.92575,-58.318115
-85.812744,-42.430256,-1.6784363,30.345398,-21.917145,-3.4934464,-18.843567,21.304932,-48.782898,-25.299194,-72.008286,-70.77969
-96.734436,-44.840923,-5.65271,30.345398,-21.917145,-5.0794983,-14.570557,21.304932,-48.782898,-25.299194,-85.67431,-79.08743
-107.6561,-47.251587,-5.65271,33.961243,-27.574799,-6.66555,-6.024536,14.404907,-54.32849,-25.299194,-95.92382,-83.24127
-113.11694,-47.251587,-5.65271,33.961243,-27.574799,-6.66555,6.7944946,14.404907,-54.32849,-25.299194,-102.756836,-87.39514
-113.11694,-47.251587,-5.65271,33.961243,-27.574799,-6.66555,23.886597,14.404907,-54.32849,-25.299194,-106.17335,-91.54898
-118.57779,-44.840923,-5.65271,33.961243,-33.232452,-6.66555,49.52466,21.304932,-54.32849,-25.299194,-106.17335,-91.54898
-118.57779,-35.19826,-5.65271,33.961243,-33.232452,-6.66555,79.43579,35.10498,-43.237244,-18.129395,-106.17335,-87.39514
-118.57779,-23.144928,-5.65271,23.113892,-33.232452,-5.0794983,117.892944,62.7052,-4.4179077,10.549561,-106.17335,-79.08743
