I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-16.21,-10.25,-9.92,9.72,8.63,-9.11,-13.12,-22.03,-18.8,-13.98,-11.23,-13.33
-23.95,-18.12,-15.7,16.19,11.35,-15.6,-25.76,-55.22,-57.84,-41.15,-24.85,-20.59
-35.39,-42.84,-31.09,33.9,14.41,-35.7,-56.25,-141.89,-166.66,-121.27,-68.13,-41.71
-50.12,-83.16,-55.63,62.02,17.81,-68.54,-102.01,-273.82,-334.82,-247.24,-137.99,-75.93
-70.53,-143.58,-91.32,103.77,21.79,-117.37,-173.12,-482.29,-601.35,-445.22,-245.4,-125.77
-96.87,-227.01,-139.87,161.04,26.32,-184.61,-271.78,-773.87,-975.22,-722.58,-395.07,-193.77
-117.28,-291.31,-174.41,203.82,28.1,-234.83,-327.52,-972.48,-1253.32,-936.23,-516.21,-250.83
-131.31,-335.0,-193.69,230.97,26.83,-266.63,-337.05,-1072.15,-1430.35,-1082.68,-607.16,-296.05
-145.11,-375.85,-212.39,258.94,24.06,-297.2,-336.76,-1121.09,-1528.82,-1174.19,-681.73,-345.86
-155.73,-403.15,-223.86,280.43,18.86,-317.69,-308.83,-1071.72,-1491.39,-1170.18,-720.73,-393.38
-156.43,-393.53,-213.23,278.65,11.56,-306.97,-258.73,-949.9,-1357.74,-1088.41,-709.19,-408.55
-146.56,-343.4,-179.24,252.29,2.08,-262.58,-186.91,-744.41,-1105.34,-910.84,-638.45,-388.92
-126.69,-263.81,-123.05,202.97,-10.63,-193.97,-103.4,-505.93,-809.75,-691.26,-527.51,-342.86
-94.49,-146.81,-39.6,125.04,-26.67,-94.39,-10.22,-238.35,-474.42,-428.05,-368.29,-261.08
-69.17,-63.56,12.7,70.04,-35.14,-26.09,62.44,-12.58,-181.7,-201.9,-238.64,-195.79
-51.51,-19.78,30.44,40.45,-35.27,5.85,107.51,148.12,37.8,-34.46,-146.89,-149.3
-29.81,25.98,46.82,5.74,-32.44,37.36,135.29,267.48,212.26,109.66,-48.51,-87.34
-8.6,55.11,47.13,-21.61,-23.71,52.09,134.25,314.57,303.85,199.18,34.86,-21.93
9.8,76.46,45.94,-43.11,-15.89,62.32,142.55,360.25,379.11,270.72,102.21,25.65
25.8,91.7,45.54,-60.25,-9.48,69.83,160.13,399.76,429.84,319.13,153.22,55.87
36.85,81.81,26.39,-61.92,1.45,54.9,156.08,391.26,430.87,323.64,169.64,69.35
42.05,47.42,-8.8,-47.68,15.43,19.2,137.38,346.2,391.9,288.04,148.12,59.89
48.5,34.1,-23.99,-44.53,23.6,4.4,130.48,324.29,372.73,272.82,146.74,62.09
55.73,41.66,-19.31,-51.94,25.83,10.29,133.4,326.22,377.62,280.29,164.41,76.16
59.13,47.13,-10.83,-55.52,25.38,16.88,137.37,330.4,384.54,282.61,167.57,79.05
59.91,60.85,9.97,-61.04,19.95,33.77,148.08,352.28,410.89,295.38,168.29,77.94
58.54,68.2,22.65,-63.0,16.18,43.62,151.79,358.74,419.94,299.87,170.29,80.59
54.46,67.13,25.46,-60.07,14.37,44.52,147.76,349.14,411.85,295.34,171.35,85.44
48.07,72.98,35.38,-59.29,9.24,52.65,147.36,353.71,421.3,304.87,178.61,93.84
39.28,82.54,47.79,-59.33,2.16,64.16,147.73,366.62,442.46,325.88,193.13,107.55
33.79,85.17,53.73,-57.49,-1.5,68.73,144.5,366.18,445.43,329.53,196.71,112.69
32.24,82.15,54.31,-54.66,-1.85,67.55,138.73,355.31,433.55,317.83,189.96,109.14
31.8,76.56,50.56,-51.33,-0.53,62.98,130.71,341.59,419.02,304.41,183.23,105.28
34.12,66.3,40.48,-47.24,3.8,52.84,119.71,321.11,396.33,283.6,172.87,98.1
35.7,61.21,33.26,-45.52,6.59,46.99,111.36,307.78,382.21,269.6,165.42,92.83
36.37,62.02,29.06,-46.53,7.69,45.9,105.96,303.04,378.8,264.55,162.41,90.64
39.38,62.43,21.67,-48.73,10.48,43.09,100.29,297.55,374.35,257.64,158.18,86.79
44.05,64.88,13.03,-53.04,14.0,40.83,95.75,294.91,373.34,252.72,154.72,82.78
45.89,65.08,8.02,-54.56,15.52,38.84,90.46,289.13,368.33,245.75,150.79,79.73
44.96,62.24,6.51,-52.91,15.17,36.59,84.13,279.1,357.89,235.58,145.9,77.33
43.01,60.41,7.59,-51.24,13.57,35.98,78.83,270.67,349.35,227.34,142.31,76.34
38.97,58.46,12.55,-48.34,10.03,36.94,74.13,262.28,340.76,219.96,139.73,77.05
36.38,57.75,16.93,-47.01,7.02,38.2,70.57,255.96,334.8,214.25,138.32,78.22
35.5,58.88,20.72,-47.7,4.58,40.12,68.54,252.61,332.64,211.07,138.54,80.11
33.69,60.35,27.36,-48.07,0.9,43.34,67.53,250.14,331.57,209.3,140.17,83.65
31.76,62.67,35.99,-48.88,-3.53,47.78,67.86,249.35,332.65,209.5,143.5,88.75
30.79,64.5,41.2,-49.66,-6.11,50.74,67.18,247.46,331.83,208.24,144.99,91.43
30.61,65.61,42.92,-50.16,-6.81,52.1,65.29,244.08,328.59,205.22,144.37,91.51
31.34,67.1,43.2,-51.21,-6.52,53.15,63.65,241.31,325.85,202.66,143.69,90.9
33.24,68.62,40.66,-52.65,-4.54,53.21,61.63,238.41,322.53,199.69,142.01,88.58
35.11,70.9,39.48,-54.39,-2.89,54.25,60.77,237.03,321.0,198.59,141.72,87.34
36.99,74.12,39.88,-56.54,-1.61,56.46,61.27,237.47,321.7,199.71,143.09,87.41
39.73,77.6,38.6,-59.05,0.87,58.25,61.9,238.35,322.58,201.23,144.2,86.55
43.12,81.58,36.52,-61.95,4.17,60.1,63.04,240.13,324.3,203.75,145.64,85.39
45.07,84.28,35.75,-63.82,5.89,61.58,63.04,239.92,323.98,204.02,146.03,84.5
45.49,85.47,36.11,-64.54,5.99,62.49,61.61,237.34,321.14,201.54,145.02,83.71
45.23,86.15,37.23,-64.8,5.35,63.35,59.85,234.1,317.66,198.36,143.72,83.17
43.74,85.82,39.59,-64.2,3.36,64.01,57.24,229.37,312.69,193.52,141.68,83.01
42.52,85.42,41.14,-63.62,1.84,64.33,54.53,224.62,307.56,188.61,139.34,82.36
41.62,85.01,41.82,-63.11,0.86,64.37,51.8,219.98,302.44,183.79,136.78,81.23
